Province,District,Division,Houses Damaged,Affected
Western,Gampaha,Kelaniya,5,12249
Western,Gampaha,Wattala,67,24195
Western,Gampaha,Mahara,18,1436
Western,Gampaha,Gampaha,19,286
Western,Gampaha,Negombo,1,7281
Western,Gampaha,Katana,0,9998
Western,Gampaha,Ja-Ela,10,782
Southern,Matara,Kotapola,8,31
North-Western,Kurunegala,Pannala,3,6
Central,Nuwara Eliya,Nuwara Eliya,0,22
Central,Nuwara Eliya,Ambagamuwakorale,38,182
Sabaragamuwa,Kegalle,Aranayaka,1,4
Sabaragamuwa,Kegalle,Dehiovita,0,48
Southern,Hambantota,Weeraketiya,2,11
Western,Gampaha,Biyagama,3,410
Western,Gampaha,Attanagalla,1,220
Western,Gampaha,Kelaniya,0,4799
Southern,Hambantota,Walasmulla,6,19
Northern,Jaffna,Jaffna,1,5
Western,Gampaha,Wattala,1,2549
Western,Gampaha,Dompe,1,20
Western,Gampaha,Dompe,0,60
Western,Gampaha,Biyagama,5,18
Western,Gampaha,Attanagalla,1,4
Western,Gampaha,Kelaniya,0,195
Western,Gampaha,Wattala,1,1723
Western,Gampaha,Dompe,2,10
Western,Gampaha,Dompe,1,3
Western,Gampaha,Dompe,1,3
Western,Gampaha,Gampaha,2,278
Northern,Mannar,Mannar Town,0,356
Northern,Jaffna,Kareinagar,11,40
Northern,Jaffna,Jaffna,25,93
Eastern,Ampara,Karativu,3,14
Eastern,Batticaloa,Koralai Pattu South (Kiran),0,3776
North-Western,Kurunegala,Udubaddawa,0,102
Northern,Mullaitivu,Weli Oya,8,21
Eastern,Batticaloa,Manmunai Pattu (Araipattai),1,3
Eastern,Batticaloa,Manmunai North (Batti Town),0,1116
Eastern,Batticaloa,Manmunai South - West (Peddipe,1,3
Eastern,Batticaloa,Manmunai Pattu (Araipattai),2,486
Eastern,Batticaloa,Kattankudy,0,262
Eastern,Batticaloa,Koralai Pattu (Valachchenai),0,18
Eastern,Batticaloa,Koralai Pattu South (Kiran),2,5
Eastern,Batticaloa,Manmunai West(Vavunatheivu),0,11
Eastern,Ampara,Samanthurai,0,12
Eastern,Ampara,Samanthurai,8,30
Eastern,Ampara,Uhana,2,157
Eastern,Ampara,Alayadiwembu,26,21132
Eastern,Ampara,Karativu,62,13715
Eastern,Ampara,Lahugala,3,18
Eastern,Ampara,Damana,2,39
Eastern,Ampara,Addalachchenai,1,13532
Eastern,Ampara,Sayinthamarathu,5,430
Eastern,Ampara,Ampara,20,78
Eastern,Ampara,Ninthavur,0,11144
Eastern,Ampara,Thirukkovil,26,16612
Eastern,Ampara,Pothuvil,0,35751
