Division,Month,Affected
RATNAPURA,7,7792
PELMADULLA,7,89
WATTALA,6,53043
JA-ELA,6,16661
BIYAGAMA,6,16241
KATANA,6,12611
MAHARA,6,5200
GAMPAHA,6,10521
MINUWANGODA,6,1631
DOMPE,6,1158
KELANIYA,6,39418
NEGOMBO,6,581
ATTANAGALLA,6,3889
MIRIGAMA,6,589
DIVULAPITIYA,6,1198
SRI JAYAWARDANAPURA KOTTE,6,2820
HOMAGAMA,6,1580
KADUWELA,6,8324
KOLONNAWA,6,44588
THIMBIRIGASYAYA,6,1448
HANWELLA,6,958
COLOMBO,6,5160
MAHARAGAMA,6,216
PADUKKA,6,218
KALAWANA,6,29
NIVITHIGALA,6,7
RATNAPURA,6,64
RATNAPURA,6,7
EHELIYAGODA,6,1602
AYAGAMA,6,140
ELAPATHA,6,530
ELAPATHA,6,3
KIRIELLA,6,2437
KIRIELLA,6,2046
CHILAW,6,7399
MADAMPE,6,1908
MUNDALAMA,6,1216
DANKOTUWA,6,802
MAHAKUMBUKKADAWALA,6,693
WENNAPPUWA,6,2148
PUTTALAM,6,2241
MAHAWEWA,6,190
ANAMADUWA,6,43
ARACHCHIKATTUWA,6,1167
MAHAWEWA,6,3557
NATTANDIYA,6,8407
PUTTALAM,6,143
KARUWALAGASWEWA,6,37
VANATHAVILLUWA,6,40
NUWARA ELIYA,6,301
YATIYANTHOTA,6,38
RUWANWELLA,6,106
RAMBUKKANA,6,12
GALIGAMUWA,6,12
MAWANELLA,6,51
DEHIOVITA,6,31
DERANIYAGALA,6,13
BINGIRIYA,6,496
PANNALA,6,1424
PADUWASNUWARA WEST,6,1
PADUWASNUWARA WEST,6,411
KOBEIGANE,6,54
